N,runs,nsteps,density,temperature,seq_v2_time_s,seq_v2_speedup,gpu_v2_time_s,gpu_v2_speedup,gpu_v3_time_s,gpu_v3_speedup,gpu_v4_time_s,gpu_v4_speedup,gpu_v5_time_s,gpu_v5_speedup,gpu_v6_time_s,gpu_v6_speedup,gpu_v7_time_s,gpu_v7_speedup,tune_skin,tune_max_nn,tune_block
1000,5,5000,0.9500,0.5000,1.848191,1.000000,,,,,,,,,,,,,,,
2000,5,5000,0.9500,0.5000,5.334858,1.000000,,,,,,,,,,,,,,,
5000,1,5000,0.9500,0.5000,27.069804,1.000000,,,,,,,,,,,,,,,
8000,1,5000,0.9500,0.5000,65.398145,1.000000,,,,,,,,,,,,,,,
