N,runs,nsteps,density,temperature,seq_v2_time_s,seq_v2_speedup,gpu_v2_time_s,gpu_v2_speedup,gpu_v3_time_s,gpu_v3_speedup,gpu_v4_time_s,gpu_v4_speedup,gpu_v5_time_s,gpu_v5_speedup,gpu_v6_time_s,gpu_v6_speedup,gpu_v7_time_s,gpu_v7_speedup,tune_skin,tune_max_nn,tune_block
1000,5,5000,0.9500,0.5000,,,0.691027,1.000000,0.571353,1.209458,0.500793,1.379866,0.477952,1.445808,0.334181,2.067824,,,1.2500,58,64
2000,5,5000,0.9500,0.5000,,,1.071902,1.000000,0.985370,1.087817,0.648489,1.652923,0.579684,1.849116,0.385772,2.778593,,,1.2500,59,64
5000,1,5000,0.9500,0.5000,,,3.002593,1.000000,2.640024,1.137336,1.516427,1.980045,1.243324,2.414973,0.567046,5.295152,,,0.7500,44,32
8000,1,5000,0.9500,0.5000,,,7.537575,1.000000,6.805919,1.107503,3.150570,2.392448,2.446274,3.081247,0.687047,10.970978,,,1.0000,52,64
