N;runs;nsteps;density;temperature;cpu_naive_time_s;cpu_naive_stddev_s;seq_v2_speedup;seq_v2_stddev_s;seq_v2_time_s;gpu_v2_speedup;gpu_v2_time_s;gpu_v3_speedup;gpu_v3_time_s;gpu_v4_speedup;gpu_v4_time_s;gpu_v5_speedup;gpu_v5_time_s;gpu_v6_speedup;gpu_v6_time_s;gpu_v7_speedup;gpu_v7_time_s;tune_block;tune_max_nn;tune_skin
1000;5.0;5000.0;0.95;0.5;332.368;0.3547;1.0;0.323174;4.595.324;1.0;0.691027;1.209.458;0.571353;1.379.866;0.500793;1.445.808;0.477952;2.067.824;0.334181;1.0;2.061.646;64.0;58.0;1.25
2000;5.0;5000.0;0.95;0.5;1.248.716;23.856;1.0;0.004474;16.692.417;1.0;1.071.902;1.087.817;0.98537;1.652.923;0.648489;1.849.116;0.579684;2.778.593;0.385772;1.0;3.301.247;64.0;59.0;1.25
4000;1.0;5000.0;0.95;0.5;4.623.948;109.417;1.0;0.0;100.940.997;1.0;3.002.593;1.137.336;2.640.024;1.980.045;1.516.427;2.414.973;1.243.324;5.295.152;0.567046;1.0;7.445.824;32.0;44.0;0.75
8000;1.0;5000.0;0.95;0.5;18.534.369;124.406;1.0;0.0;255.498.413;1.0;7.537.575;1.107.503;6.805.919;2.392.448;315.057;3.081.247;2.446.274;10.970.978;0.687047;1.0;11.611.125;64.0;52.0;1.0
